Recycling symbol	Recycling, Symbols, Waste
B. J. Ward	1944 births, Living people, American movie actors, American voice actors, American video game actors, American television actors, American stage actors, Actors from Wilmington, Delaware, Singers from Delaware, Musicians from Wilmington, Delaware
Soupex	Communes in Aude
Talairan	Communes in Aude
Taurize	Communes in Aude
Termes, Aude	Communes in Aude
Thézan-des-Corbières	Communes in Aude
La Tourette-Cabardès	Communes in Aude
Tournissan	Communes in Aude
Tourouzelle	Communes in Aude
Trassanel	Communes in Aude
Trausse	Communes in Aude
John Backus	1924 births, 2007 deaths, Deaths from natural causes in the United States, American computer scientists, American inventors, Scientists from Philadelphia, Pennsylvania, Scientists from Delaware
Treilles	Communes in Aude
Elena Delle Donne	1989 births, Living people, American basketball players, Sportspeople from Wilmington, Delaware, Sportspeople from Chicago
Tréville	Communes in Aude
Chicago Sky	Sports in Chicago, Illinois
Tréziers	Communes in Aude
Wintrust Arena	2010s establishments in Illinois, 2017 establishments in the United States, Sports buildings in Chicago, Illinois
Tuchan	Communes in Aude
Matt Gaetz	1982 births, Living people, United States representatives from Florida, State legislators of the United States, US Republican Party politicians
Bellflower, California	Cities in California, Settlements in Los Angeles County, California
Washington Court House, Ohio	Cities in Ohio, County seats in Ohio
Wauseon, Ohio	Cities in Ohio, County seats in Ohio
Mount Gilead, Ohio	Villages in Ohio, County seats in Ohio
Chattahoochee County, Georgia	1854 establishments in Georgia (U.S. state), Georgia (U.S. state) counties
Chattooga County, Georgia	1830s establishments in Georgia (U.S. state), 1838 establishments in the United States, Georgia (U.S. state) counties
Coffee County, Georgia	1854 establishments in Georgia (U.S. state), Georgia (U.S. state) counties
Colquitt County, Georgia	1856 establishments in Georgia (U.S. state), Georgia (U.S. state) counties
I, the Jury (1982 movie)	1982 drama movies, 1980s crime drama movies, American crime drama movies
Kadar Chowk	Settlements in Uttar Pradesh, Settlements in Budaun district
Jagat	Settlements in Uttar Pradesh, Settlements in Budaun district
Lakh	India, Numbers
Yellow Sky	1948 movies, 1940s western movies, American western movies, Movies directed by William A. Wellman
Childbed fever	Medicine
Johnny Belinda	1948 movies, 1940s drama movies, American drama movies, Movies based on plays, Movies directed by Jean Negulesco
All-time Asian Games medal table	Asian Games
Day of Wrath	1943 movies, 1940s drama movies, Danish movies, Movies based on plays, Movies directed by Carl Theodor Dreyer
