Oil tanker	Ship types
Saint-Urbain, Vendée	Communes in Vendée
Saint-Valérien, Vendée	Communes in Vendée
Saint-Vincent-Sterlanges	Communes in Vendée
Saint-Vincent-sur-Graon	Communes in Vendée
Saint-Vincent-sur-Jard	Communes in Vendée
Sainte-Cécile, Vendée	Communes in Vendée
Sainte-Flaive-des-Loups	Communes in Vendée
Sainte-Florence, Vendée	Former communes in Vendée
Sainte-Foy, Vendée	Communes in Vendée
Sainte-Gemme-la-Plaine	Communes in Vendée
Sainte-Hermine	Communes in Vendée
Sainte-Pexine	Communes in Vendée
Sainte-Radégonde-des-Noyers	Communes in Vendée
Saligny, Vendée	Former communes in Vendée
Sallertaine	Communes in Vendée
Sérigné	Communes in Vendée
Sigournais	Communes in Vendée
Soullans	Communes in Vendée
Tallud-Sainte-Gemme	Communes in Vendée
Talmont-Saint-Hilaire	Communes in Vendée
Thiré	Communes in Vendée
Thorigny	Communes in Vendée
Thouarsais-Bouildroux	Communes in Vendée
Tiffauges	Communes in Vendée
Treize-Septiers	Communes in Vendée
Treize-Vents	Communes in Vendée
Triaize	Communes in Vendée
Vairé	Communes in Vendée
Velluire	Former communes in Vendée
Venansault	Communes in Vendée
Vendrennes	Communes in Vendée
Vix, Vendée	Communes in Vendée
Vouillé-les-Marais	Communes in Vendée
Vouvant	Communes in Vendée
Xanton-Chassenon	Communes in Vendée
Umberto I of Italy	Kings and Queens of Italy, 1844 births, 1900 deaths, Princes and Princesses of Savoy, Princes and Princesses of Piedmont
Chiojdu	Communes in Buzău County
Cislău	Communes in Buzău County
Nehoiu	Towns in Romania
Amaru, Buzău	Communes in Buzău County
Bălăceanu	Communes in Buzău County
Hamilton, Alabama	Cities in Alabama, County seats in Alabama
Hueytown, Alabama	Cities in Alabama
Haleyville, Alabama	Cities in Alabama
Hanceville, Alabama	Cities in Alabama
Hartford, Alabama	Cities in Alabama
Heflin, Alabama	Cities in Alabama, County seats in Alabama
Headland, Alabama	Cities in Alabama
Hartselle, Alabama	Cities in Alabama, 1870 establishments in the United States, 1870s establishments in Alabama
Homewood, Alabama	Cities in Alabama
Hokes Bluff, Alabama	Cities in Alabama
Helena, Alabama	Cities in Alabama
M40 motorway	Motorways in England
Adâncata, Suceava	Communes in Suceava County
Arbore	Communes in Suceava County
Baia	Communes in Suceava County
Bălăceana	Communes in Suceava County
Bălcăuţi	Communes in Suceava County
Bilca	Communes in Suceava County
Bogdăneşti, Suceava	Communes in Suceava County
Boroaia	Communes in Suceava County
Bosanci, Suceava	Communes in Suceava County
Botoşana	Communes in Suceava County
Breaza, Suceava	Communes in Suceava County
Brodina	Communes in Suceava County
Buneşti, Suceava	Communes in Suceava County
Burla, Suceava	Communes in Suceava County
Cacica	Communes in Suceava County
Calafindeşti	Communes in Suceava County
Capu Câmpului	Communes in Suceava County
Cârlibaba	Communes in Suceava County
Ciocăneşti, Suceava	Communes in Suceava County
Ciprian Porumbescu, Suceava	Communes in Suceava County
Comăneşti, Suceava	Communes in Suceava County
Cornu Luncii	Communes in Suceava County
Coşna	Communes in Suceava County
Crucea, Suceava	Communes in Suceava County
Dărmăneşti, Suceava	Communes in Suceava County
Dolheşti, Suceava	Communes in Suceava County
Dorna-Arini	Communes in Suceava County
Dorna Candrenilor	Communes in Suceava County
Dorneşti	Communes in Suceava County
Drăgoieşti	Communes in Suceava County
Drăguşeni, Suceava	Communes in Suceava County
Dumbrăveni, Suceava	Communes in Suceava County
Fântâna Mare	Communes in Suceava County
Fântânele, Suceava	Communes in Suceava County
Forăşti	Communes in Suceava County
Frătăuţii Noi	Communes in Suceava County
Frătăuţii Vechi	Communes in Suceava County
Frumosu	Communes in Suceava County
Fundu Moldovei	Communes in Suceava County
Gălăneşti	Communes in Suceava County
Grămeşti	Communes in Suceava County
Grăniceşti	Communes in Suceava County
Hănțești	Communes in Suceava County
Hârtop	Communes in Suceava County
Horodnic de Jos	Communes in Suceava County
Horodnic de Sus	Communes in Suceava County
Horodniceni	Communes in Suceava County
Iaslovăţ	Communes in Suceava County
Ilişeşti	Communes in Suceava County
Ipoteşti, Suceava	Communes in Suceava County
Izvoarele Sucevei	Communes in Suceava County
Mălini	Communes in Suceava County
Mănăstirea Humorului	Communes in Suceava County
Mitocu Dragomirnei	Communes in Suceava County
Moara, Romania	Communes in Suceava County
Moldova-Suliţa	Communes in Suceava County
Moldoviţa, Suceava	Communes in Suceava County
Muşeniţa	Communes in Suceava County
Păltinoasa	Communes in Suceava County
Panaci	Communes in Suceava County
Pârteştii de Jos	Communes in Suceava County
Pătrăuţi	Communes in Suceava County
Poiana Stampei	Communes in Suceava County
Poieni-Solca	Communes in Suceava County
Pojorâta	Communes in Suceava County
Preuteşti	Communes in Suceava County
Putna, Suceava	Communes in Suceava County
Rădăşeni	Communes in Suceava County
Râşca, Suceava	Communes in Suceava County
Şaru Dornei	Communes in Suceava County
Satu Mare, Suceava	Communes in Suceava County
Şcheia, Suceava	Communes in Suceava County
Serbăuţi	Communes in Suceava County
Siminicea	Communes in Suceava County
Slatina, Suceava	Communes in Suceava County
Straja, Suceava	Communes in Suceava County
Stroieşti, Suceava	Communes in Suceava County
Stulpicani	Communes in Suceava County
Suceviţa	Communes in Suceava County
Todireşti, Suceava	Communes in Suceava County
Udeşti	Communes in Suceava County
Ulma, Suceava	Communes in Suceava County
Vadu Moldovei	Communes in Suceava County
Valea Moldovei	Communes in Suceava County
Vama, Suceava	Communes in Suceava County
Vatra Moldoviţei	Communes in Suceava County
Vereşti	Communes in Suceava County
Vicovu de Jos	Communes in Suceava County
Voitinel	Communes in Suceava County
Volovăţ	Communes in Suceava County
Vultureşti, Suceava	Communes in Suceava County
Zamostea	Communes in Suceava County
Zvoriştea	Communes in Suceava County
Afumați, Dolj	Communes in Dolj County
Almăj	Communes in Dolj County
Amărăștii de Jos	Communes in Dolj County
Amărăștii de Sus	Communes in Dolj County
Apele Vii	Communes in Dolj County
Argetoaia	Communes in Dolj County
Bistreț	Communes in Dolj County
Botoșești-Paia	Communes in Dolj County
Brabova	Communes in Dolj County
Braloștița	Communes in Dolj County
Bratovoești	Communes in Dolj County
Breasta	Communes in Dolj County
Brădești, Dolj	Communes in Dolj County
Bucovăț	Communes in Dolj County
Bulzești	Communes in Dolj County
Bârca	Communes in Dolj County
Calopăr	Communes in Dolj County
Caraula	Communes in Dolj County
Carpen	Communes in Dolj County
Castranova	Communes in Dolj County
Catane	Communes in Dolj County
Celaru	Communes in Dolj County
Cernătești, Dolj	Communes in Dolj County
Cerăt	Communes in Dolj County
Cetate, Dolj	Communes in Dolj County
Cioroiași	Communes in Dolj County
Ciupercenii Noi	Communes in Dolj County
Coșoveni	Communes in Dolj County
Coțofenii din Dos	Communes in Dolj County
Coțofenii din Față	Communes in Dolj County
Cârcea	Communes in Dolj County
Cârna	Communes in Dolj County
Călărași, Dolj	Communes in Dolj County
Daneți	Communes in Dolj County
Desa, Dolj	Communes in Dolj County
Dioști	Communes in Dolj County
Dobrești, Dolj	Communes in Dolj County
Dobrotești, Dolj	Communes in Dolj County
Drăgotești, Dolj	Communes in Dolj County
Drănic	Communes in Dolj County
Fărcaș	Communes in Dolj County
Galicea Mare	Communes in Dolj County
Galiciuica	Communes in Dolj County
Ghercești	Communes in Dolj County
Ghidici	Communes in Dolj County
Ghindeni	Communes in Dolj County
Gighera	Communes in Dolj County
Giubega	Communes in Dolj County
Giurgița	Communes in Dolj County
Gogoșu, Dolj	Communes in Dolj County
Goicea	Communes in Dolj County
Goiești	Communes in Dolj County
Grecești	Communes in Dolj County
Gângiova	Communes in Dolj County
Izvoare	Communes in Dolj County
Ișalnița	Communes in Dolj County
Leu, Dolj	Communes in Dolj County
Lipovu	Communes in Dolj County
Melinești	Communes in Dolj County
Mischii	Communes in Dolj County
Moțăței	Communes in Dolj County
Murgași	Communes in Dolj County
Mârșani	Communes in Dolj County
Măceșu de Jos	Communes in Dolj County
Măceșu de Sus	Communes in Dolj County
Negoi	Communes in Dolj County
Orodel	Communes in Dolj County
Ostroveni	Communes in Dolj County
Perișor	Communes in Dolj County
Pielești	Communes in Dolj County
Piscu Vechi	Communes in Dolj County
Plenița	Communes in Dolj County
Pleșoi	Communes in Dolj County
Podari	Communes in Dolj County
Poiana Mare	Communes in Dolj County
Predești	Communes in Dolj County
Radovan, Dolj	Communes in Dolj County
Rast, Dolj	Communes in Dolj County
Robănești	Communes in Dolj County
Rojiște	Communes in Dolj County
Sadova, Dolj	Communes in Dolj County
Scăești	Communes in Dolj County
Seaca de Câmp	Communes in Dolj County
Seaca de Pădure	Communes in Dolj County
Secu	Communes in Dolj County
Siliștea Crucii	Communes in Dolj County
Sopot, Dolj	Communes in Dolj County
Terpezița	Communes in Dolj County
Teslui, Dolj	Communes in Dolj County
Tălpaș	Communes in Dolj County
Unirea, Dolj	Communes in Dolj County
Urzicuța	Communes in Dolj County
Valea Stanciului	Communes in Dolj County
Vela, Dolj	Communes in Dolj County
Verbița	Communes in Dolj County
Vârtop	Communes in Dolj County
Vârvoru de Jos	Communes in Dolj County
Întorsura	Communes in Dolj County
Șimnicu de Sus	Communes in Dolj County
Țuglui	Communes in Dolj County
Adak, Alaska	Cities in Alaska, 2001 establishments in the United States, 21st-century establishments in Alaska
Akhiok, Alaska	Cities in Alaska, 1972 establishments in the United States, 1970s establishments in Alaska
Akiak, Alaska	Cities in Alaska, 1970 establishments in Alaska
Akutan, Alaska	Cities in Alaska, 1979 establishments in the United States, 1970s establishments in Alaska
Alakanuk, Alaska	Cities in Alaska, 1969 establishments in the United States, 1960s establishments in Alaska
Aleknagik, Alaska	Cities in Alaska, 1973 establishments in the United States, 1970s establishments in Alaska
Allakaket, Alaska	Cities in Alaska, 1975 establishments in the United States, 1970s establishments in Alaska
Ambler, Alaska	Cities in Alaska, 1971 establishments in the United States, 1970s establishments in Alaska
Anaktuvuk Pass, Alaska	Cities in Alaska, 1949 establishments in the United States, 1940s establishments in Alaska
Anderson, Alaska	Cities in Alaska
Angoon, Alaska	Cities in Alaska
Aniak, Alaska	Cities in Alaska, 1962 establishments in the United States, 1960s establishments in Alaska
Anvik, Alaska	Cities in Alaska, 1969 establishments in the United States, 1960s establishments in Alaska
Atka, Alaska	Cities in Alaska, 1988 establishments in the United States, 20th-century establishments in Alaska
Atqasuk, Alaska	Cities in Alaska
Utqiagvik, Alaska	Cities in Alaska, Borough seats in Alaska
Bethel, Alaska	Cities in Alaska, 1957 establishments in the United States, 20th-century establishments in Alaska
Bettles, Alaska	Cities in Alaska
Brevig Mission, Alaska	Cities in Alaska
Buckland, Alaska	Cities in Alaska
Central, Alaska	Cities in Alaska
Chefornak, Alaska	Cities in Alaska, 1974 establishments in Alaska
Chevak, Alaska	Cities in Alaska, 1967 establishments in the United States, 1960s establishments in Alaska
Chignik, Alaska	Cities in Alaska
Chuathbaluk, Alaska	Cities in Alaska
Circle, Alaska	Cities in Alaska, 1893 establishments in the United States, 19th-century establishments in Alaska
Circle Hot Springs, Alaska	Alaska, 1909 establishments in the United States, 1900s establishments in Alaska
Clark's Point, Alaska	Cities in Alaska
Coffman Cove, Alaska	Cities in Alaska
Cold Bay, Alaska	Cities in Alaska
Cordova, Alaska	Cities in Alaska
Craig, Alaska	Cities in Alaska, 1907 establishments in the United States, 1900s establishments in Alaska
Deering, Alaska	Cities in Alaska, 1970 establishments in Alaska
Delta Junction, Alaska	Cities in Alaska
Dillingham, Alaska	Cities in Alaska
Diomede, Alaska	Cities in Alaska
Sablet	Communes in Vaucluse
Saignon	Communes in Vaucluse
Eagle, Alaska	Cities in Alaska, 1901 establishments in the United States, 1900s establishments in Alaska
Saint-Christol, Vaucluse	Communes in Vaucluse
Eek, Alaska	Cities in Alaska
Egegik, Alaska	Cities in Alaska, 1995 establishments in the United States, 20th-century establishments in Alaska
Ekwok, Alaska	Cities in Alaska, 1974 establishments in Alaska
Elim, Alaska	Cities in Alaska, 1970 establishments in Alaska
Emmonak, Alaska	Cities in Alaska
Saint-Didier, Vaucluse	Communes in Vaucluse
Fairbanks, Alaska	Cities in Alaska, Borough seats in Alaska, 1901 establishments in the United States, 1900s establishments in Alaska
False Pass, Alaska	Cities in Alaska
Saint-Hippolyte-le-Graveyron	Communes in Vaucluse
Fort Yukon, Alaska	Cities in Alaska
Galena, Alaska	Cities in Alaska, 1971 establishments in the United States, 1970s establishments in Alaska
Gambell, Alaska	Cities in Alaska
Golovin, Alaska	Cities in Alaska
Saint-Léger-du-Ventoux	Communes in Vaucluse
Goodnews Bay, Alaska	Cities in Alaska
Saint-Marcellin-lès-Vaison	Communes in Vaucluse
Grayling, Alaska	Cities in Alaska
Gustavus, Alaska	Cities in Alaska
Saint-Martin-de-Castillon	Communes in Vaucluse
Kachemak, Alaska	Cities in Alaska
Saint-Martin-de-la-Brasque	Communes in Vaucluse
Kake, Alaska	Cities in Alaska
Kaktovik, Alaska	Cities in Alaska
Kaltag, Alaska	Cities in Alaska
Kasaan, Alaska	Cities in Alaska
Kenai, Alaska	Cities in Alaska
Ketchikan, Alaska	Cities in Alaska, Borough seats in Alaska
Kiana, Alaska	Cities in Alaska
King Cove, Alaska	Cities in Alaska
Saint-Pantaléon, Vaucluse	Communes in Vaucluse
Kivalina, Alaska	Cities in Alaska
Saint-Pierre-de-Vassols	Communes in Vaucluse
Klawock, Alaska	Cities in Alaska
Saint-Romain-en-Viennois	Communes in Vaucluse
Kobuk, Alaska	Cities in Alaska, 1973 establishments in the United States, 1970s establishments in Alaska
Saint-Roman-de-Malegarde	Communes in Vaucluse
Saint-Saturnin-lès-Apt	Communes in Vaucluse
Saint-Saturnin-lès-Avignon	Communes in Vaucluse
Kodiak, Alaska	Cities in Alaska, Borough seats in Alaska
Saint-Trinit	Communes in Vaucluse
Sainte-Cécile-les-Vignes	Communes in Vaucluse
Kotlik, Alaska	Cities in Alaska
Sannes	Communes in Vaucluse
Kotzebue, Alaska	Cities in Alaska, Borough seats in Alaska
Sarrians	Communes in Vaucluse
Koyuk, Alaska	Cities in Alaska
Sault, Vaucluse	Communes in Vaucluse
Koyukuk, Alaska	Cities in Alaska
Saumane-de-Vaucluse	Communes in Vaucluse
Savoillan	Communes in Vaucluse
Kupreanof, Alaska	Cities in Alaska
Sivergues	Communes in Vaucluse
Sorgues	Communes in Vaucluse
Suzette	Communes in Vaucluse
Séguret	Communes in Vaucluse
Sérignan-du-Comtat	Communes in Vaucluse
Taillades	Communes in Vaucluse
Kwethluk, Alaska	Cities in Alaska
Travaillan	Communes in Vaucluse
Uchaux	Communes in Vaucluse
Larsen Bay, Alaska	Cities in Alaska, 1974 establishments in Alaska
Vacqueyras	Communes in Vaucluse
Levelock, Alaska	Cities in Alaska
Vaison-la-Romaine	Communes in Vaucluse
Lower Kalskag, Alaska	Cities in Alaska
Valréas	Communes in Vaucluse
Napakiak, Alaska	Cities in Alaska
Vaugines	Communes in Vaucluse
Napaskiak, Alaska	Cities in Alaska
Vedène	Communes in Vaucluse
Nenana, Alaska	Cities in Alaska
Velleron	Communes in Vaucluse
New Stuyahok, Alaska	Cities in Alaska, 1918 establishments in the United States, 1942 establishments in the United States, 1940s establishments in Alaska, 20th-century establishments in Alaska
Venasque	Communes in Vaucluse
Viens	Communes in Vaucluse
Newhalen, Alaska	Cities in Alaska
Villars, Vaucluse	Communes in Vaucluse
Nightmute, Alaska	Cities in Alaska
Villedieu, Vaucluse	Communes in Vaucluse
Nikolai, Alaska	Cities in Alaska
Villelaure	Communes in Vaucluse
Nondalton, Alaska	Cities in Alaska
Villes-sur-Auzon	Communes in Vaucluse
Noorvik, Alaska	Cities in Alaska
Violès	Communes in Vaucluse
Visan	Communes in Vaucluse
Vitrolles-en-Luberon	Communes in Vaucluse
North Pole, Alaska	Cities in Alaska
Nuiqsut, Alaska	Cities in Alaska
Nulato, Alaska	Cities in Alaska
Nunam Iqua, Alaska	Cities in Alaska
Nunapitchuk, Alaska	Cities in Alaska
Old Harbor, Alaska	Cities in Alaska
Ouzinkie, Alaska	Cities in Alaska
Palmer, Alaska	Cities in Alaska, Borough seats in Alaska
Pelican, Alaska	Cities in Alaska
Petersburg, Alaska	Cities in Alaska, Borough seats in Alaska
Pilot Point, Alaska	Cities in Alaska
Pilot Station, Alaska	Cities in Alaska
Platinum, Alaska	Cities in Alaska
Point Hope, Alaska	Cities in Alaska
Port Alexander, Alaska	Cities in Alaska
Port Heiden, Alaska	Cities in Alaska
Port Lions, Alaska	Cities in Alaska
Quinhagak, Alaska	Cities in Alaska
Ruby, Alaska	Cities in Alaska
Russian Mission, Alaska	Cities in Alaska
Sand Point, Alaska	Cities in Alaska, Borough seats in Alaska
Savoonga, Alaska	Cities in Alaska
Saxman, Alaska	Cities in Alaska
Scammon Bay, Alaska	Cities in Alaska
Selawik, Alaska	Cities in Alaska
Seldovia, Alaska	Cities in Alaska
Seward, Alaska	Cities in Alaska, 1903 establishments in the United States, 1900s establishments in Alaska
Shageluk, Alaska	Cities in Alaska
Shaktoolik, Alaska	Cities in Alaska
Shishmaref, Alaska	Cities in Alaska
Shungnak, Alaska	Cities in Alaska
Skagway, Alaska	Cities in Alaska, Alaska boroughs
Soldotna, Alaska	Cities in Alaska, Borough seats in Alaska, 1947 establishments in the United States, 1940s establishments in Alaska
St. George, Alaska	Cities in Alaska
St. Mary's, Alaska	Cities in Alaska
St. Michael, Alaska	Cities in Alaska
St. Paul, Alaska	Cities in Alaska
Stebbins, Alaska	Cities in Alaska
Tanana, Alaska	Cities in Alaska
Teller, Alaska	Cities in Alaska
Tenakee Springs, Alaska	Cities in Alaska
Thorne Bay, Alaska	Cities in Alaska
Togiak, Alaska	Cities in Alaska
Toksook Bay, Alaska	Cities in Alaska
Unalakleet, Alaska	Cities in Alaska
Unalaska, Alaska	Cities in Alaska
Upper Kalskag, Alaska	Cities in Alaska
Valdez, Alaska	Cities in Alaska
Wainwright, Alaska	Cities in Alaska, 1904 establishments in the United States, 1900s establishments in Alaska
Wales, Alaska	Cities in Alaska, 1964 establishments in the United States, 1960s establishments in Alaska
White Mountain, Alaska	Cities in Alaska
Wrangell, Alaska	Cities in Alaska, Alaska boroughs
Yakutat, Alaska	Cities in Alaska, Alaska boroughs
Communes of the Ain department	Communes in Ain, Lists of communes of France
Ambérieu-en-Bugey	Communes in Ain
Ambérieux-en-Dombes	Communes in Ain
Ambléon	Communes in Ain
Ambronay	Communes in Ain
Ambutrix	Communes in Ain
Andert-et-Condon	Communes in Ain
Anglefort	Communes in Ain
Apremont, Ain	Communes in Ain
Aranc	Communes in Ain
Arandas, Ain	Communes in Ain
Arbent	Communes in Ain
Arbignieu	Former communes in Ain, 2016 disestablishments in France
Arbigny	Communes in Ain
Argis	Communes in Ain
Armix	Communes in Ain
Ars-sur-Formans	Communes in Ain
Artemare	Communes in Ain
Asnières-sur-Saône	Communes in Ain
Attignat	Communes in Ain
Bâgé-la-Ville	Former communes in Ain
Bâgé-le-Châtel	Communes in Ain
Balan, Ain	Communes in Ain
Baneins	Communes in Ain
Beaupont	Communes in Ain
Beauregard, Ain	Communes in Ain
Béligneux	Communes in Ain
Bellegarde-sur-Valserine	Former communes in Ain
Belley	Subprefectures in France, Communes in Ain
Belleydoux	Communes in Ain
Bellignat	Communes in Ain
Belmont-Luthézieu	Former communes in Ain
Arkadelphia, Arkansas	Cities in Arkansas, County seats in Arkansas, 1857 establishments in the United States, 1850s establishments in Arkansas
Bénonces	Communes in Ain
Arkansas City, Arkansas	Cities in Arkansas, County seats in Arkansas
Bény	Communes in Ain
Ash Flat, Arkansas	Cities in Arkansas, County seats in Arkansas
