Crain Communications Building	Skyscrapers in Chicago, 1984 establishments in the United States, 1980s establishments in Illinois
Joey King	1999 births, Living people, American child actors, American movie actors, American television actors, American voice actors, Jewish American actors, Actors from Los Angeles, California, Singers from Los Angeles, California, Models from Los Angeles, California
Rick Baker	Academy Award winning make-up artists, 1950 births, Living people, Make-up artists, People from Binghamton, New York, Academy Award winners
Katsuyama, Fukui	Cities in Japan, Settlements in Fukui Prefecture
Vin Diesel	1967 births, Living people, Actors from New York City, African American actors, American movie actors, American television actors, American video game actors, American voice actors, Movie directors from New York City, Movie producers from New York City, Screenwriters from New York City, American Roman Catholics
Juno Temple	1989 births, Living people, English movie actors, English television actors, English stage actors, English voice actors, Child actors, Actors from London
Klara Hitler	1860 births, 1907 deaths, Austrian Roman Catholics, Cancer deaths in Austria, Deaths from breast cancer, Hitler family, People from Lower Austria
Sylvia Kristel	1952 births, 2012 deaths, Cancer deaths in the Netherlands, Deaths from esophageal cancer, Deaths from lung cancer, Dutch movie actors, Dutch stage actors, Dutch television actors, Dutch voice actors, People from Utrecht (city)
Paul Berg	1926 births, Living people, American biochemists, American Nobel Prize winners, Foreign Members of the Royal Society, Jewish American academics, Jewish American scientists, Jewish Nobel Prize winners, American molecular biologists, Stanford University faculty
List of countries where Tamil is an official language	Tamil language, Lists of countries
Tamil Eelam	National liberation movements, Tamils, Sri Lankan Civil War, Politics of Sri Lanka
Thomas Cech	1947 births, Living people, American academics, American molecular biologists, American Nobel Prize winners, Scientists from Chicago
Reverse transcriptase	Enzymes
Stephen Turnbull	British historians, Japanologists, 1948 births, Living people
Renato Dulbecco	1914 births, 2012 deaths, Scientists from California, Foreign Members of the Royal Society, People from Turin, Virologists, Naturalized citizens of the United States, Italian Nobel Prize winners, Italian biologists
WorldCat	1971 establishments, Websites
Buddha Dhatu Jadi	Buildings and structures in Bangladesh, Buddhist temples
Somapura Mahavihara	Buildings and structures in Bangladesh, Buddhist buildings, World Heritage Sites in Asia
Islam in the Maldives	Islam by country, Maldives
Islam in Lebanon	Islam by country, Lebanon
State of Judea	Judaism in Israel, Politics of Israel, Politics of Palestine, Arab–Israeli conflict, West Bank
Ludovico Ariosto	1474 births, 1533 deaths, Italian poets
Javier Bardem	1969 births, Living people, Academy Award winning actors, BAFTA Award winning actors, Golden Globe Award winning actors, Spanish movie actors, Spanish television actors, Spanish voice actors, Spanish stage actors, Las Palmas de Gran Canaria, Actors who played Bond villains
Defense of Marriage Act	Marriage, LGBT rights, LGBT in the United States, United States federal legislation, 1996 in the United States, 1990s in law
Blake Lively	1987 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, Actors from Los Angeles, California
Queen Heonae	964 births, 1029 deaths, Korean politicians, Murder victims, Autobiographers, Kings and Queens consort, Korean monarchs
Transfection	Cell biology, Genetics
Antibiotic resistance	Genetics, Evolutionary biology, Infectious diseases, Antibiotics
Stanford R. Ovshinsky	Scientists from Akron, Ohio, American inventors, 1922 births, 2012 deaths
Wilhelm Wulff	1892 births, 1979 deaths, Astrologers, Austrian people of World War II, Austrian writers, German esotericists, German people of World War II, German writers
Peter Mark Richman	1927 births, 2021 deaths, Deaths from natural causes in the United States, Jewish American actors, American movie actors, American television actors, American stage actors, American voice actors, American radio actors, Actors from Philadelphia, Pennsylvania
Jada Pinkett Smith	1971 births, Living people, American movie actors, American television actors, American voice actors, American writers, American movie directors, American movie producers, American singer-songwriters, Actors from Baltimore, Maryland, Singers from Maryland, Writers from Maryland
John Carradine	1906 births, 1988 deaths, Deaths from multiple organ failure, Actors from New York City, American movie actors, American radio actors, American stage actors, American television actors, American voice actors, Disease-related deaths in Italy, Emmy Award winning actors
Mitch McConnell	1942 births, Living people, US Republican Party politicians, United States senators from Kentucky, American lawyers, Minority leaders of the United States Senate, Majority leaders of the United States Senate, Politicians from Alabama, Politicians from Louisville, Kentucky, People from Tuscumbia, Alabama, People from Sheffield, Alabama
Leopard gecko	Reptiles of Pakistan, Lizards
Pitchblende	Minerals
Rare earth element	Chemical elements
Larry Hankin	1940 births, Living people, American movie actors, American television actors, American stage actors, American voice actors, American radio actors, American movie directors, American movie producers, Actors from New York City, Movie directors from New York, Movie producers from New York
Jonathan Harris	1914 births, 2002 deaths, Deaths from heart failure, American movie actors, American television actors, American stage actors, American voice actors, American radio actors, American television personalities, American radio personalities, Actors from New York City
Zenith	astronomy
Nadir	Astronomy
Herman Bing	German movie actors, German voice actors, American movie actors, American voice actors, 1889 births, 1947 deaths
Larry Semon	American movie actors, Silent movie actors, Actors from Mississippi, 1889 births, 1928 deaths
Joyce Cary	1957 deaths, Irish writers, 1888 births
Theodore Roethke	1908 births, 1963 deaths, American writers, American poets
Sikandar Hayat Khan	1892 births, 1942 deaths, People of British India, Indian politicians, Punjabi people, Leaders of All India Muslim League, Knights and Dames Commander of the Order of the British Empire
Abdul Majid Khan Tarin	1877 births, 1939 deaths, People of British India, Indian politicians, Officers of the Order of the British Empire, Indian judges, Muslims, Leaders of All India Muslim League
Khattar	Ethnic groups in Pakistan, Ethnic groups in India, Pakistani tribes, Punjabi people
Shaukat Hayat Khan	1915 births, 1998 deaths, Pakistani people, Punjabi people, Indian politicians, Pakistani politicians, Leaders of All India Muslim League, Muslims
Aitchison College	Education in Pakistan, Colleges and universities in Pakistan, Lahore, 1886 establishments, 19th century establishments in Pakistan
Tarin	Ethnic groups in Pakistan, Ethnic groups in Afghanistan, Ethnic groups in Khyber Pakhtunkhwa, Ethnic groups in Balochistan (Pakistan)
