Estate (law)	Law
Darrin Patrick	1970 births, 2020 deaths, Suicides by firearm in the United States, American Christians, American educators, Writers from Illinois
Kristina Lugn	1948 births, 2020 deaths, Swedish poets, Swedish novelists, Writers from Stockholm
Kjell Espmark	1930 births, Living people, Swedish writers, Swedish historians
Kerstin Ekman	1933 births, Living people, Swedish writers
Per Wästberg	1933 births, Living people, Writers from Stockholm
Allan Edwall	1924 births, 1997 deaths, Deaths from prostate cancer, Swedish movie actors, Swedish television actors, Swedish stage actors, Swedish writers, Composers, Swedish movie directors
Abraham Palatnik	1928 births, 2020 deaths, Deaths from the COVID-19 pandemic in Brazil, Brazilian artists, Inventors
Space Force (TV series)	American comedy television series, Netflix original shows, English-language television programs
Condorcet loser criterion	Voting systems
Mutual majority criterion	Voting systems
Solid rocket booster	Rockets
1987 Stanley Cup Finals	Stanley Cup Finals
Rashida Hamid	People from Dhaka
Djoko Santoso	1952 births, 2020 deaths, Deaths from surgical complications, Indonesian people, Generals
Bhojpuri Language	Eastern Indo-Aryan languages
George Kauffman	1930 births, 2020 deaths, American historians, American chemists, American educators, Scientists from Philadelphia, Pennsylvania, Writers from Philadelphia, Pennsylvania, Scientists from California, Writers from California, People from Fresno, California
1984 Stanley Cup Finals	Stanley Cup Finals
Follow Thru	1930 movies, 1930s musical movies, 1930s romance movies, 1930s comedy movies, American musical movies, American romantic comedy movies, Movies based on plays, Movies directed by Lloyd Corrigan
1985 Stanley Cup Finals	Stanley Cup Finals
Love That Brute	1950s crime movies, 1950 comedy movies, American comedy movies, Movie remakes, American crime movies
Mother Didn't Tell Me	1950 comedy movies, American comedy movies, Movies based on books
The Castle Tour	Swedish movies, 1986 movies
University of Tokyo Press	University of Tokyo, University presses, 1950s establishments in Japan, 1951 establishments in Asia
1990 Stanley Cup Finals	1990 in ice hockey, Stanley Cup Finals
Montséret	Communes in Aude
Moussan	Communes in Aude
Moussoulens	Communes in Aude
Mouthoumet	Communes in Aude
Moux	Communes in Aude
Névian	Communes in Aude
Ornaisons	Communes in Aude
Orsans, Aude	Communes in Aude
Ouveillan	Communes in Aude
Padern	Communes in Aude
Palairac	Communes in Aude
Palaja	Communes in Aude
La Palme, Aude	Communes in Aude
Payra-sur-l'Hers	Communes in Aude
Paziols	Communes in Aude
Pécharic-et-le-Py	Communes in Aude
Pennautier	Communes in Aude
Pépieux	Communes in Aude
Pexiora	Communes in Aude
The Affairs of Susan	1945 movies, 1940s romance movies, 1940s comedy movies, American romantic comedy movies, Movies directed by William A. Seiter
Peyrefitte-sur-l'Hers	Communes in Aude
The Nevadan	1950 movies, 1950s western movies, American western movies, Movies directed by Gordon Douglas
Kansas Raiders	1950 movies, 1950s western movies, American western movies, Movies directed by Ray Enright
Straight Time	1978 drama movies, 1970s crime drama movies, American crime drama movies, Movies based on books
Peyrens	Communes in Aude
Peyriac-de-Mer	Communes in Aude
Paul Landowski	1875 births, 1961 deaths, French sculptors, Olympic medalists, Artists from Paris
Peyriac-Minervois	Communes in Aude
Pezens	Communes in Aude
Plavilla	Communes in Aude
La Pomarède	Communes in Aude
Portel-des-Corbières	Communes in Aude
Pouzols-Minervois	Communes in Aude
Curry County, Oregon	Oregon counties
Deschutes County, Oregon	Oregon counties
Sabarkantha District	Districts of Gujarat
Steve Wilkos	1964 births, American bloggers
Lassi	Drinks, Indian food, National symbols of India, Pakistani food
If I Can't Have You (Shawn Mendes song)	2019 songs
Karl Schwarzschild	1873 births, 1916 deaths, Jewish German scientists, German astronomers, German physicists, German Jews, Jewish military people, German military personnel of World War I, People from Frankfurt, People from Prussia
Silver(I,III) oxide	Silver compounds, Oxides
A Yank in the RAF	1941 movies, 1940s adventure movies, 1940s war movies, American adventure movies, World War II movies, Movies directed by Henry King
Ralph P. Locke	Musicologists, American academics, 1949 births
Week-End in Havana	1941 movies, 1940s romance movies, American musical movies, American romantic comedy movies, Movies set in North America, Movies directed by Walter Lang
Marcus Paus	1979 births, Living people, Norwegian composers
Convicted (1950 movie)	1950 drama movies, 1950s crime movies, American crime drama movies, Movies based on plays, Movies directed by Henry Levin
Hawaii Five-O	CBS network shows, English-language television programs
Jack Horner (politician)	1927 births, 2004 deaths, Politicians from Alberta, Conservatives, Ranchers, Privy Councillors (Canada), Members of the House of Commons of Canada
Panic in the Streets (movie)	1950 movies, 1950s crime movies, American thriller movies, Movies directed by Elia Kazan
Betty Wright	Grammy Award winners, 1953 births, 2020 deaths, Deaths from endometrial cancer, American soul singers, American R&B singers, American gospel singers, American funk singers, American singer-songwriters, Singers from Miami, Florida, Writers from Miami, Florida
Sérgio Sant'Anna	1941 births, 2020 deaths, Deaths from the COVID-19 pandemic in Brazil, Brazilian poets, Playwrights, Brazilian novelists, People from Rio de Janeiro
Battleground (1949 movie)	1949 movies, 1940s action movies, 1940s war movies, American action movies, World War II movies, Movies directed by William A. Wellman
Ignacio de Loyola Brandão	1936 births, Living people, Brazilian novelists
Elopement (movie)	1951 comedy movies, 1950s romance movies, American romantic comedy movies, Movies directed by Henry Koster
Richard Sala	1955 births, 2020 deaths, American cartoonists, American illustrators, American comics artists, American comics writers, Writers from Oakland, California, Writers from Illinois
Stanley Miller	University of Chicago alumni, 1930 births, 2007 deaths, Deaths from stroke, American chemists, American biologists, Scientists from Oakland, California
Balloon boy hoax	2009 in the United States
Carmichael, California	Census-designated places in California, Settlements in Sacramento County, California
Jan Aling	1949 births, 2020 deaths, Deaths from cardiac arrest, Dutch cyclists, Sportspeople from Drenthe
Pedro Pablo León	1943 births, 2020 deaths, Deaths from pneumonia, Deaths from renal failure, Peruvian footballers, People from Lima
Jan Saxl	1948 births, 2020 deaths, People from Brno, British mathematicians, Czech scientists
Halls of Montezuma (1951 movie)	1951 movies, 1950s action movies, American action movies, World War II movies, Movies directed by Lewis Milestone
Reiko Kobayashi	1939 births, 1996 deaths, Japanese Go players, Sportswomen
The Feminine Touch (1941 movie)	1941 movies, 1940s comedy movies, American comedy movies, Movies directed by W. S. Van Dyke
For You Alone	1945 movies, 1940s war movies, 1940s romance movies, British romance movies, World War II movies
Burghclere	Villages in Hampshire, Civil parishes in England
Golden Girl (1951 movie)	1951 movies, 1950s musical movies, American musical movies, Movies directed by Lloyd Bacon
Arch of Triumph (1948 movie)	1948 movies, 1940s romance movies, American romantic drama movies, World War II movies, Movies directed by Lewis Milestone
Pradelles-Cabardès	Communes in Aude
Preixan	Communes in Aude
Puginier	Communes in Aude
Puichéric	Communes in Aude
Quintillan	Communes in Aude
Raissac-d'Aude	Communes in Aude
Chaise	Travel
Urban sprawl	Geography
Raissac-sur-Lampy	Communes in Aude
La Redorte	Communes in Aude
Leckford	Villages in Hampshire
Douglas County, Oregon	Oregon counties
Gilliam County, Oregon	Oregon counties
Hood River County, Oregon	Oregon counties
Josephine County, Oregon	Oregon counties
Vale, Oregon	Cities in Oregon, County seats in Oregon
Condon, Oregon	Cities in Oregon, County seats in Oregon
Wheeler County, Oregon	Oregon counties
Lake County, Oregon	Oregon counties
The Dalles, Oregon	19th-century establishments in Oregon, 1857 establishments in the United States, Cities in Oregon, County seats in Oregon
Coquille, Oregon	Cities in Oregon, County seats in Oregon
Ribaute	Communes in Aude
Hedge school	Schools in Ireland
Alliebrack National School	Schools in Ireland
TEFL Institute of Ireland	Schools in the Republic of Ireland
Barbara Babcock	Emmy Award winning actors, 1937 births, Living people, American movie actors, American stage actors, American television actors, Actors from Kansas
Yuri Gryadunov	1929 births, 2020 deaths, Ambassadors of Russia, Soviet politicians, Russian politicians
Double Rainbow (viral video)	Internet celebrities, Internet memes
Ryazan Oblast	Oblasts of Russia, Federal subjects of Russia
Timo Honkela	1962 births, 2020 deaths, Computer scientists, Finnish scientists, People from Helsinki
Ribouisse	Communes in Aude
David Corrêa	1937 births, 2020 deaths, Deaths from the COVID-19 pandemic in Brazil, Deaths from renal failure, Brazilian singers, Brazilian writers, Songwriters, People from Rio de Janeiro
Justice, Illinois	Villages in Illinois, Settlements in Cook County, Illinois, Suburbs of Chicago, Illinois
Rio Carnival	Festivals, Rio de Janeiro
Wasco County, Oregon	Oregon counties
Fernand Robichaud	1939 births, Living people, Canadian politicians, Privy Councillors (Canada), People from New Brunswick, Members of the House of Commons of Canada
Bird of Paradise (1951 movie)	1951 drama movies, American drama movies, Movies based on plays, 20th Century Fox movies, Movies directed by Delmer Daves
Bright Victory	1951 drama movies, 1950s romantic drama movies, American romantic drama movies, World War II movies, Movies based on books, Movies directed by Mark Robson
From Justin to Kelly	2003 comedy movies, 2000s romantic comedy movies, 2000s musical movies, American musical movies, American romantic comedy movies
Châteaufort, Alpes-de-Haute-Provence	Communes in Alpes-de-Haute-Provence
Châteauneuf-Miravail	Communes in Alpes-de-Haute-Provence
Châteauneuf-Val-Saint-Donat	Communes in Alpes-de-Haute-Provence
Châteauredon	Communes in Alpes-de-Haute-Provence
Chaudon-Norante	Communes in Alpes-de-Haute-Provence
Clamensane	Communes in Alpes-de-Haute-Provence
Claret, Alpes-de-Haute-Provence	Communes in Alpes-de-Haute-Provence
Clumanc	Communes in Alpes-de-Haute-Provence
Colmars	Communes in Alpes-de-Haute-Provence
La Condamine-Châtelard	Communes in Alpes-de-Haute-Provence
Corbières-en-Provence	Communes in Alpes-de-Haute-Provence
Cruis	Communes in Alpes-de-Haute-Provence
Curbans	Communes in Alpes-de-Haute-Provence
Curel, Alpes-de-Haute-Provence	Communes in Alpes-de-Haute-Provence
Dauphin, Alpes-de-Haute-Provence	Communes in Alpes-de-Haute-Provence
Demandolx	Communes in Alpes-de-Haute-Provence
Draix	Communes in Alpes-de-Haute-Provence
